date,currency,usd_rate,source
2023-05-13,CAD,0.740850,ecb_frankfurter
2023-05-14,USD,1.000000,ecb_frankfurter
2023-05-14,GBP,1.251674,ecb_frankfurter
2023-05-14,EUR,1.089194,ecb_frankfurter
2023-05-14,CAD,0.740850,ecb_frankfurter
2023-05-15,USD,1.000000,ecb_frankfurter
2023-05-15,GBP,1.250938,ecb_frankfurter
2023-05-15,EUR,1.087595,ecb_frankfurter
2023-05-15,CAD,0.740686,ecb_frankfurter
2023-05-16,USD,1.000000,ecb_frankfurter
2023-05-16,GBP,1.251580,ecb_frankfurter
2023-05-16,EUR,1.088104,ecb_frankfurter
2023-05-16,CAD,0.742611,ecb_frankfurter
2023-05-17,USD,1.000000,ecb_frankfurter
2023-05-17,GBP,1.246215,ecb_frankfurter
2023-05-17,EUR,1.082896,ecb_frankfurter
2023-05-17,CAD,0.741235,ecb_frankfurter
2023-05-18,USD,1.000000,ecb_frankfurter
2023-05-18,GBP,1.244447,ecb_frankfurter
2023-05-18,EUR,1.081303,ecb_frankfurter
2023-05-18,CAD,0.742225,ecb_frankfurter
2023-05-19,USD,1.000000,ecb_frankfurter
2023-05-19,GBP,1.244586,ecb_frankfurter
2023-05-19,EUR,1.080801,ecb_frankfurter
2023-05-19,CAD,0.741565,ecb_frankfurter
2023-05-20,USD,1.000000,ecb_frankfurter
2023-05-20,GBP,1.244586,ecb_frankfurter
2023-05-20,EUR,1.080801,ecb_frankfurter
2023-05-20,CAD,0.741565,ecb_frankfurter
2023-05-21,USD,1.000000,ecb_frankfurter
2023-05-21,GBP,1.244586,ecb_frankfurter
2023-05-21,EUR,1.080801,ecb_frankfurter
2023-05-21,CAD,0.741565,ecb_frankfurter
2023-05-22,USD,1.000000,ecb_frankfurter
2023-05-22,GBP,1.246121,ecb_frankfurter
2023-05-22,EUR,1.082204,ecb_frankfurter
2023-05-22,CAD,0.740302,ecb_frankfurter
2023-05-23,USD,1.000000,ecb_frankfurter
2023-05-23,GBP,1.239065,ecb_frankfurter
2023-05-23,EUR,1.077900,ecb_frankfurter
2023-05-23,CAD,0.739754,ecb_frankfurter
2023-05-24,USD,1.000000,ecb_frankfurter
2023-05-24,GBP,1.239757,ecb_frankfurter
2023-05-24,EUR,1.078504,ecb_frankfurter
2023-05-24,CAD,0.738716,ecb_frankfurter
2023-05-25,USD,1.000000,ecb_frankfurter
2023-05-25,GBP,1.236858,ecb_frankfurter
2023-05-25,EUR,1.073503,ecb_frankfurter
2023-05-25,CAD,0.735348,ecb_frankfurter
2023-05-26,USD,1.000000,ecb_frankfurter
2023-05-26,GBP,1.238405,ecb_frankfurter
2023-05-26,EUR,1.075095,ecb_frankfurter
2023-05-26,CAD,0.734862,ecb_frankfurter
2023-05-27,USD,1.000000,ecb_frankfurter
2023-05-27,GBP,1.238405,ecb_frankfurter
2023-05-27,EUR,1.075095,ecb_frankfurter
2023-05-27,CAD,0.734862,ecb_frankfurter
2023-05-28,USD,1.000000,ecb_frankfurter
2023-05-28,GBP,1.238405,ecb_frankfurter
2023-05-28,EUR,1.075095,ecb_frankfurter
2023-05-28,CAD,0.734862,ecb_frankfurter
2023-05-29,USD,1.000000,ecb_frankfurter
2023-05-29,GBP,1.234370,ecb_frankfurter
2023-05-29,EUR,1.071501,ecb_frankfurter
2023-05-29,CAD,0.735727,ecb_frankfurter
2023-05-30,USD,1.000000,ecb_frankfurter
2023-05-30,GBP,1.244029,ecb_frankfurter
2023-05-30,EUR,1.074402,ecb_frankfurter
2023-05-30,CAD,0.736594,ecb_frankfurter
2023-05-31,USD,1.000000,ecb_frankfurter
2023-05-31,GBP,1.236384,ecb_frankfurter
2023-05-31,EUR,1.068296,ecb_frankfurter
2023-05-31,CAD,0.732601,ecb_frankfurter
2023-06-01,USD,1.000000,ecb_frankfurter
2023-06-01,GBP,1.246401,ecb_frankfurter
2023-06-01,EUR,1.069702,ecb_frankfurter
2023-06-01,CAD,0.737028,ecb_frankfurter
2023-06-02,USD,1.000000,ecb_frankfurter
2023-06-02,GBP,1.252536,ecb_frankfurter
2023-06-02,EUR,1.076299,ecb_frankfurter
2023-06-02,CAD,0.745212,ecb_frankfurter
2023-06-03,USD,1.000000,ecb_frankfurter
2023-06-03,GBP,1.252536,ecb_frankfurter
2023-06-03,EUR,1.076299,ecb_frankfurter
2023-06-03,CAD,0.745212,ecb_frankfurter
2023-06-04,USD,1.000000,ecb_frankfurter
2023-06-04,GBP,1.252536,ecb_frankfurter
2023-06-04,EUR,1.076299,ecb_frankfurter
2023-06-04,CAD,0.745212,ecb_frankfurter
2023-06-05,USD,1.000000,ecb_frankfurter
2023-06-05,GBP,1.238375,ecb_frankfurter
2023-06-05,EUR,1.069004,ecb_frankfurter
2023-06-05,CAD,0.744048,ecb_frankfurter
2023-06-06,USD,1.000000,ecb_frankfurter
2023-06-06,GBP,1.240726,ecb_frankfurter
2023-06-06,EUR,1.068296,ecb_frankfurter
2023-06-06,CAD,0.744879,ecb_frankfurter
2023-06-07,USD,1.000000,ecb_frankfurter
2023-06-07,GBP,1.246603,ecb_frankfurter
2023-06-07,EUR,1.071696,ecb_frankfurter
2023-06-07,CAD,0.746770,ecb_frankfurter
2023-06-08,USD,1.000000,ecb_frankfurter
2023-06-08,GBP,1.246852,ecb_frankfurter
2023-06-08,EUR,1.073699,ecb_frankfurter
2023-06-08,CAD,0.748615,ecb_frankfurter
2023-06-09,USD,1.000000,ecb_frankfurter
2023-06-09,GBP,1.256487,ecb_frankfurter
2023-06-09,EUR,1.078004,ecb_frankfurter
2023-06-09,CAD,0.750582,ecb_frankfurter
2023-06-10,USD,1.000000,ecb_frankfurter
2023-06-10,GBP,1.256487,ecb_frankfurter
2023-06-10,EUR,1.078004,ecb_frankfurter
2023-06-10,CAD,0.750582,ecb_frankfurter
2023-06-11,USD,1.000000,ecb_frankfurter
2023-06-11,GBP,1.256487,ecb_frankfurter
2023-06-11,EUR,1.078004,ecb_frankfurter
2023-06-11,CAD,0.750582,ecb_frankfurter
2023-06-12,USD,1.000000,ecb_frankfurter
2023-06-12,GBP,1.256455,ecb_frankfurter
2023-06-12,EUR,1.076496,ecb_frankfurter
2023-06-12,CAD,0.749794,ecb_frankfurter
2023-06-13,USD,1.000000,ecb_frankfurter
2023-06-13,GBP,1.257197,ecb_frankfurter
